Run #1:
[94/100] Train Loss: 2941.9291, Test Loss: 4627.560627995226, mIoU: 0.845902136823999
[95/100] Train Loss: 2929.8454, Test Loss: 4626.759216090387, mIoU: 0.8228523277839123
[96/100] Train Loss: 3047.4864, Test Loss: 4586.026118612178, mIoU: 0.81906550751968
[97/100] Train Loss: 2785.8549, Test Loss: 5083.8498907332305, mIoU: 0.7887882364333185
[98/100] Train Loss: 2659.5090, Test Loss: 6349.830199735192, mIoU: 0.7991243656113867
[99/100] Train Loss: 2848.3076, Test Loss: 4384.518913367601, mIoU: 0.821562199261525
[100/100] Train Loss: 2793.0338, Test Loss: 4951.204924084182, mIoU: 0.8420328716955437

Run #2:
[1/100] Train Loss: 131675.8282, Test Loss: 184965.51742676838, mIoU: 0.11312557429204456
[2/100] Train Loss: 78880.4714, Test Loss: 46004.891480787956, mIoU: 0.45149643346808055
[3/100] Train Loss: 63900.8142, Test Loss: 31139.62444042428, mIoU: 0.6250499266155102
[4/100] Train Loss: 53738.8754, Test Loss: 31050.90012731284, mIoU: 0.4449053868647426
[5/100] Train Loss: 49376.0163, Test Loss: 25672.07331240377, mIoU: 0.5983543622698264
[6/100] Train Loss: 44920.0475, Test Loss: 23139.937638982206, mIoU: 0.6620373513510556
[7/100] Train Loss: 40659.1305, Test Loss: 21185.126808685476, mIoU: 0.6995986256856256
[8/100] Train Loss: 37028.7079, Test Loss: 19316.243291318784, mIoU: 0.6628078293003028
[9/100] Train Loss: 34200.9789, Test Loss: 18789.085385207185, mIoU: 0.7716929592382376
[10/100] Train Loss: 31382.6660, Test Loss: 16883.93881605435, mIoU: 0.7851446112762638
[11/100] Train Loss: 29539.2705, Test Loss: 15042.718610173562, mIoU: 0.65236168401623
[12/100] Train Loss: 28114.9281, Test Loss: 15000.10309405444, mIoU: 0.6813740954684292
[13/100] Train Loss: 26717.1620, Test Loss: 14749.86286764449, mIoU: 0.7182869226147587
[14/100] Train Loss: 25859.6016, Test Loss: 13480.521578594218, mIoU: 0.7158327855305723
[15/100] Train Loss: 22785.8188, Test Loss: 11743.853944628749, mIoU: 0.6720757717113945
[16/100] Train Loss: 21103.6168, Test Loss: 10306.146351203914, mIoU: 0.7189157562657703
[17/100] Train Loss: 19407.7254, Test Loss: 11084.089600247846, mIoU: 0.6988538430677023
[18/100] Train Loss: 18166.9638, Test Loss: 9693.12559212635, mIoU: 0.7228220762406069
[19/100] Train Loss: 17037.0656, Test Loss: 8988.97162619288, mIoU: 0.695435654282159
[20/100] Train Loss: 15995.1737, Test Loss: 8871.431727329431, mIoU: 0.7227186995746936
[21/100] Train Loss: 15062.9783, Test Loss: 8438.277706160297, mIoU: 0.7500525268229241
[22/100] Train Loss: 14308.6733, Test Loss: 8165.544690673767, mIoU: 0.6732421036791492
[23/100] Train Loss: 13512.1571, Test Loss: 7513.5794398562675, mIoU: 0.7166942815632853
[24/100] Train Loss: 12730.6505, Test Loss: 7563.875641622872, mIoU: 0.7123901990546128
[25/100] Train Loss: 12009.1785, Test Loss: 6906.444519336406, mIoU: 0.7570055775028098
[26/100] Train Loss: 11342.2507, Test Loss: 6566.319281922697, mIoU: 0.7138482141362513
[27/100] Train Loss: 10780.8501, Test Loss: 6004.509132071793, mIoU: 0.7821537482348901
[28/100] Train Loss: 10190.4521, Test Loss: 5971.769477623956, mIoU: 0.7208274127707109
[29/100] Train Loss: 9726.0595, Test Loss: 5471.30963707455, mIoU: 0.7190372859817413
[30/100] Train Loss: 9326.9964, Test Loss: 5403.893622701206, mIoU: 0.6920729238520864
[31/100] Train Loss: 11148.6059, Test Loss: 28902.305555852035, mIoU: 0.4225315586318906
[32/100] Train Loss: 10998.0932, Test Loss: 5198.59235127656, mIoU: 0.6233858673823114
[33/100] Train Loss: 9347.1179, Test Loss: 6321.99193067857, mIoU: 0.7435981972571863
[34/100] Train Loss: 11076.9649, Test Loss: 30031.037894476736, mIoU: 0.2996249434056137
[35/100] Train Loss: 9480.9592, Test Loss: 5210.324757470234, mIoU: 0.7955060789191005
[36/100] Train Loss: 9026.3526, Test Loss: 4133.866328822313, mIoU: 0.6366768043716138
[37/100] Train Loss: 8822.3657, Test Loss: 4942.952411081434, mIoU: 0.6940275678169596
[38/100] Train Loss: 7572.3742, Test Loss: 4309.227224225969, mIoU: 0.8319502209480844
[39/100] Train Loss: 6934.2089, Test Loss: 3977.44215589394, mIoU: 0.8263183689794696
[40/100] Train Loss: 6632.2880, Test Loss: 3680.499364960228, mIoU: 0.8297929089931533
[41/100] Train Loss: 6261.5349, Test Loss: 3481.004738365186, mIoU: 0.8293647704791469
[42/100] Train Loss: 6050.2908, Test Loss: 3582.5902732197574, mIoU: 0.8225871147567945
[43/100] Train Loss: 5781.1815, Test Loss: 3365.2708055632893, mIoU: 0.8271156931992811
[44/100] Train Loss: 5601.3457, Test Loss: 3302.2933545429673, mIoU: 0.8264276589724903
[45/100] Train Loss: 5425.1758, Test Loss: 3139.2121348201754, mIoU: 0.8164982280984177
[46/100] Train Loss: 5214.1243, Test Loss: 3222.9818059757026, mIoU: 0.830872634617006
[47/100] Train Loss: 5066.1678, Test Loss: 3019.659123738581, mIoU: 0.8305129341245325
[48/100] Train Loss: 4897.8405, Test Loss: 3371.7211953800715, mIoU: 0.7961220823650363
[49/100] Train Loss: 4796.3829, Test Loss: 2809.1481241764423, mIoU: 0.807420396814638
[50/100] Train Loss: 4633.4154, Test Loss: 2955.0396747905534, mIoU: 0.8291450960603497
[51/100] Train Loss: 4747.2097, Test Loss: 4350.678985433429, mIoU: 0.5798804652074155
[52/100] Train Loss: 7027.2159, Test Loss: 3438.07378345432, mIoU: 0.7476403926999513
